,HistGradientBoosting_Tuned,MLP_Tuned,RandomForest_Tuned,XGBoost_Tuned
SQL Injection,0.3529411764705882,0.5882352941176471,0.4705882352941176,0.2941176470588235
Brute Force -XSS,0.9565217391304348,0.4130434782608695,0.8695652173913043,0.9347826086956522
Brute Force -Web,0.9344262295081968,0.7622950819672131,0.8852459016393442,0.9262295081967212
DoS attacks-Slowloris,0.9846153846153848,0.9846153846153848,0.9846153846153848,0.9769230769230768
DoS attacks-SlowHTTPTest,0.5365853658536586,0.959349593495935,0.3821138211382114,0.6707317073170732
DDOS attack-LOIC-UDP,0.9884393063583816,1.0,1.0,1.0
DoS attacks-GoldenEye,1.0,1.0,1.0,1.0
Infilteration,0.3753050268423621,0.2049780380673499,0.5109809663250366,0.2235236700829673
