Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Training Time (s),Prediction Time (s)
HistGradientBoosting_Tuned,0.9921645103691809,0.927707582231888,0.950784172446552,0.9353305188195972,0.9929881374744703,14.174031496047974,3.445086002349853
RandomForest_Tuned,0.98945625392772,0.9142796530722396,0.9322675645718526,0.91051433781569,0.990790128231934,37.73171949386597,3.2254116535186768
AdaBoost_Tuned,0.9894712166704904,0.9004304986974497,0.905167549879766,0.899768632240925,0.990147720583338,912.9006726741792,14.301267147064207
MLP_Tuned,0.9868776745902702,0.8490547684736105,0.8540885208067981,0.8273950852034743,0.988575668765218,1666.9132826328278,3.208105087280273
