,AdaBoost_Tuned,HistGradientBoosting_Tuned,MLP_Tuned,RandomForest_Tuned
SQL Injection,0.7333333333333333,0.8235294117647058,0.4347826086956521,0.7777777777777778
Brute Force -XSS,0.8666666666666667,0.9545454545454546,0.56,0.9318181818181818
Brute Force -Web,0.933852140077821,0.9375,0.6991404011461319,0.9402390438247012
DoS attacks-Slowloris,1.0,0.9961685823754788,0.9806949806949808,1.0
DoS attacks-SlowHTTPTest,0.5982300884955752,0.7108167770419426,0.3513513513513513,0.4971428571428571
DDOS attack-LOIC-UDP,0.99568345323741,0.99568345323741,0.9757489300998572,0.9928263988522238
DoS attacks-GoldenEye,0.9990485252140818,1.0,0.9980988593155894,0.9990485252140818
Infilteration,0.6330427563304276,0.7446651949963208,0.6450040617384241,0.6832942751925009
