,precision,recall,f1-score,support
0,0.9933646922793924,0.888391440758628,0.9379501144477045,170202.0
1,0.9983235540653814,1.0,0.9991610738255033,3573.0
2,0.46956521739130436,0.8852459016393442,0.6136363636363636,122.0
3,0.7017543859649122,0.8695652173913043,0.7766990291262136,46.0
4,0.9944757874941231,1.0,0.9972302433849962,8461.0
5,0.969187675070028,1.0,0.984352773826458,346.0
6,0.9931787175989086,0.9982174688057041,0.9956917185256103,7293.0
7,0.9849906191369606,1.0,0.9924385633270322,525.0
8,1.0,0.9998183469573115,0.9999091652284494,5505.0
9,0.7121212121212122,0.3821138211382114,0.4973544973544973,246.0
10,0.9411764705882353,0.9846153846153847,0.9624060150375939,130.0
11,0.7495934959349594,0.9257028112449799,0.8283917340521114,498.0
12,0.052905507832238505,0.5109809663250366,0.09588351114977792,2049.0
13,0.42105263157894735,0.47058823529411764,0.4444444444444444,17.0
14,0.9953083109919572,1.0,0.9976486395700369,1485.0
accuracy,0.8990912627557383,0.8990912627557383,0.8990912627557383,0.8990912627557383
macro avg,0.7984665518699041,0.8610159729446683,0.8082131924624529,200498.0
weighted avg,0.9825964974752301,0.8990912627557383,0.9363303918831917,200498.0
