,precision,recall,f1-score,support
0,0.9999584085939728,0.9888074170691297,0.9943516510785628,170202.0
1,0.9997198094704399,0.9986006157290792,0.9991598991879026,3573.0
2,0.9147286821705426,0.9672131147540983,0.9402390438247012,122.0
3,0.9761904761904762,0.8913043478260869,0.9318181818181818,46.0
4,0.9996454738832428,0.9997636213213568,0.9997045441115642,8461.0
5,0.9857549857549858,1.0,0.9928263988522238,346.0
6,0.9976725082146769,0.9991772932949403,0.9984243337672124,7293.0
7,0.9980988593155894,1.0,0.9990485252140818,525.0
8,1.0,1.0,1.0,5505.0
9,0.8365384615384616,0.35365853658536583,0.49714285714285716,246.0
10,1.0,1.0,1.0,130.0
11,0.750390015600624,0.9658634538152611,0.8446005267778753,498.0
12,0.52,0.9960956564177648,0.6832942751925009,2049.0
13,0.7368421052631579,0.8235294117647058,0.7777777777777778,17.0
14,0.9986550100874243,1.0,0.9993270524899058,1485.0
accuracy,0.98945625392772,0.98945625392772,0.98945625392772,0.98945625392772
macro avg,0.9142796530722396,0.9322675645718526,0.91051433781569,200498.0
weighted avg,0.9940149646285915,0.98945625392772,0.9907901282319341,200498.0
