,precision,recall,f1-score,support
0,0.9964087746196485,0.9927674175391593,0.9945847631716807,170202.0
1,1.0,0.9804086202071088,0.9901074053137365,3573.0
2,0.8888888888888888,0.9836065573770492,0.933852140077821,122.0
3,0.8863636363636364,0.8478260869565217,0.8666666666666667,46.0
4,0.9996455576559546,1.0,0.9998227474150665,8461.0
5,0.9914040114613181,1.0,0.99568345323741,346.0
6,0.9997241759757275,0.9939668174962293,0.9968371837183718,7293.0
7,0.9980988593155894,1.0,0.9990485252140818,525.0
8,1.0,0.9998183469573115,0.9999091652284494,5505.0
9,0.5297805642633229,0.6869918699186992,0.5982300884955752,246.0
10,1.0,1.0,1.0,130.0
11,0.8192488262910798,0.7008032128514057,0.7554112554112554,498.0
12,0.5507403394727338,0.744265495363592,0.6330427563304276,2049.0
13,0.8461538461538461,0.6470588235294118,0.7333333333333333,17.0
14,1.0,1.0,1.0,1485.0
accuracy,0.9894712166704904,0.9894712166704904,0.9894712166704904,0.9894712166704904
macro avg,0.9004304986974497,0.9051675498797659,0.899768632240925,200498.0
weighted avg,0.9911827754023527,0.9894712166704904,0.9901477205833379,200498.0
