,HistGradientBoosting_Tuned,MLP_Tuned,RandomForest_Tuned,XGBoost_Tuned
SQL Injection,0.5,0.0404040404040404,0.4444444444444444,0.4166666666666667
Brute Force -XSS,0.9565217391304348,0.4871794871794871,0.7766990291262136,0.9555555555555556
Brute Force -Web,0.8028169014084507,0.4673366834170854,0.6136363636363636,0.7361563517915309
DoS attacks-Slowloris,0.9846153846153848,0.8590604026845637,0.962406015037594,0.9769230769230768
DoS attacks-SlowHTTPTest,0.6041189931350115,0.5632458233890215,0.4973544973544973,0.582010582010582
DDOS attack-LOIC-UDP,0.9799426934097422,0.984352773826458,0.984352773826458,0.9829545454545454
DoS attacks-GoldenEye,0.995260663507109,0.9915014164305948,0.9924385633270322,0.9896324222431668
Infilteration,0.2944667815431744,0.2564102564102564,0.0958835111497779,0.2711663706335109
