Model,Macro F1 (Small),Macro F1 (Large),Gain,Accuracy (Small),Accuracy (Large),Accuracy Gain
XGBoost,0.7315886226206666,0.8421434783372785,0.11055485571661194,0.9837903619986235,0.9861594629372862,0.002369100938662716
RandomForest,0.7451861397637402,0.8085450253047884,0.0633588855410483,0.8895749583536993,0.8999790521601213,0.010404093806422043
HistGradientBoosting,0.8217770594577665,0.862697325722646,0.040920266264879546,0.9787479176849644,0.9802990553521731,0.001551137667208713
MLP,0.7215904898043728,0.7490304996091337,0.027440009804760912,0.9808776147392991,0.9836856227992299,0.0028080080599307555
