number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_learning_rate_init,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,state
30,0.8287548800988394,2026-07-25 18:45:21.710063,2026-07-25 18:46:22.220226,0 days 00:01:00.510163,relu,0.9595138148335103,64,0.000293455820140836,2,64,224.0,,,COMPLETE
31,0.8874752201433368,2026-07-25 18:46:22.246174,2026-07-25 18:47:18.788961,0 days 00:00:56.542787,relu,0.0021893279366064088,64,0.0007468137284071234,2,192,128.0,,,COMPLETE
32,0.8960365131019346,2026-07-25 18:47:18.812644,2026-07-25 18:48:37.387722,0 days 00:01:18.575078,relu,0.0035797140842045885,64,0.0008061232239873866,2,160,128.0,,,COMPLETE
33,0.8592536997988759,2026-07-25 18:48:37.420897,2026-07-25 18:48:53.420622,0 days 00:00:15.999725,relu,0.009156772074192548,64,0.0007387573975649847,1,160,,,,COMPLETE
34,0.864907220985695,2026-07-25 18:48:53.444449,2026-07-25 18:50:02.099364,0 days 00:01:08.654915,relu,0.146905418008669,64,0.0005990357682404107,2,160,160.0,,,COMPLETE
35,0.8711724706617752,2026-07-25 18:50:02.122911,2026-07-25 18:50:43.259521,0 days 00:00:41.136610,relu,0.0016228270926059896,64,0.0003250476600649889,2,96,128.0,,,COMPLETE
36,0.8944905697148794,2026-07-25 18:50:43.285213,2026-07-25 18:51:31.094304,0 days 00:00:47.809091,relu,0.00395564866010477,64,0.002082668846827222,2,96,192.0,,,COMPLETE
37,0.8298948351085392,2026-07-25 18:51:31.115857,2026-07-25 18:51:58.105828,0 days 00:00:26.989971,relu,0.004213567000241699,64,0.007268844868293044,2,96,224.0,,,COMPLETE
38,0.8935811686015697,2026-07-25 18:51:58.132355,2026-07-25 18:52:16.469366,0 days 00:00:18.337011,relu,0.0003384499924521647,64,0.0019059772224803407,1,128,,,,COMPLETE
39,0.8603433564815159,2026-07-25 18:52:16.492155,2026-07-25 18:52:26.591543,0 days 00:00:10.099388,relu,0.00028071371007318334,64,0.0025733156698504625,1,32,,,,COMPLETE
40,0.8763329760925366,2026-07-25 18:52:26.616123,2026-07-25 18:52:35.616787,0 days 00:00:09.000664,relu,0.020621322407332974,512,0.004880816733379234,1,64,,,,COMPLETE
41,0.8214030158908301,2026-07-25 18:52:35.640927,2026-07-25 18:53:01.537986,0 days 00:00:25.897059,relu,0.0015037716936214854,64,0.012643500614768424,2,128,192.0,,,COMPLETE
42,0.8898155077934604,2026-07-25 18:53:01.570572,2026-07-25 18:54:08.759780,0 days 00:01:07.189208,relu,0.003987285163222256,64,0.001961139821495642,2,128,288.0,,,COMPLETE
43,0.8684892887473556,2026-07-25 18:54:08.784554,2026-07-25 18:54:19.802510,0 days 00:00:11.017956,relu,0.005082701874404187,64,0.0017569019049255023,1,128,,,,COMPLETE
44,0.8639243108795129,2026-07-25 18:54:19.828421,2026-07-25 18:55:00.575709,0 days 00:00:40.747288,relu,0.040991022436562524,64,0.002412507750085091,2,96,288.0,,,COMPLETE
45,0.8270354143647736,2026-07-25 18:55:00.602570,2026-07-25 18:55:16.672001,0 days 00:00:16.069431,relu,0.009895266170026326,64,0.004776510185907474,2,64,352.0,,,COMPLETE
46,0.8898224881657655,2026-07-25 18:55:16.698945,2026-07-25 18:55:35.854387,0 days 00:00:19.155442,relu,0.00043053098234846574,64,0.001996001183627509,1,160,,,,COMPLETE
47,0.6201403578471736,2026-07-25 18:55:35.881178,2026-07-25 18:55:41.207826,0 days 00:00:05.326648,relu,0.0005464647558509737,64,0.08351622710745375,1,160,,,,COMPLETE
48,0.8515645526635475,2026-07-25 18:55:41.236406,2026-07-25 18:55:52.162682,0 days 00:00:10.926276,relu,7.965846057561816e-05,512,0.0011361837080157628,1,160,,,,COMPLETE
49,0.878970369454983,2026-07-25 18:55:52.185214,2026-07-25 18:56:03.709946,0 days 00:00:11.524732,relu,0.00030661059274075353,64,0.0029404130960726266,1,96,,,,COMPLETE
50,0.8751211737785621,2026-07-25 20:26:28.900581,2026-07-25 20:26:41.880744,0 days 00:00:12.980163,relu,0.0010930061048914346,64,0.0036721352462739166,1,128,,,,COMPLETE
51,0.8816608891579845,2026-07-25 20:26:41.906862,2026-07-25 20:27:43.260598,0 days 00:01:01.353736,relu,0.0034634263569993844,64,0.0017125528691754955,2,128,256.0,,,COMPLETE
52,0.8711626855082162,2026-07-25 20:27:43.286735,2026-07-25 20:28:29.838269,0 days 00:00:46.551534,relu,0.00716074804663522,64,0.005726496574183279,2,160,288.0,,,COMPLETE
53,0.8636953042989375,2026-07-25 20:28:29.864312,2026-07-25 20:30:40.062397,0 days 00:02:10.198085,relu,0.015068534877639247,64,0.009730230005682041,2,192,384.0,,,COMPLETE
54,0.8715429991266328,2026-07-25 20:30:40.098361,2026-07-25 20:31:04.728411,0 days 00:00:24.630050,relu,0.00022557456667714803,64,0.0022676913408282073,1,128,,,,COMPLETE
55,0.8885230539171172,2026-07-25 20:31:04.760861,2026-07-25 20:32:34.457796,0 days 00:01:29.696935,relu,0.0035204665427942435,512,0.0009775596057870427,2,224,320.0,,,COMPLETE
56,0.8890285884584161,2026-07-25 20:32:34.498354,2026-07-25 20:33:12.556394,0 days 00:00:38.058040,relu,0.0004869308882773246,64,0.0014100546037758008,2,160,96.0,,,COMPLETE
57,0.8542914905718799,2026-07-25 20:33:12.588679,2026-07-25 20:33:32.478734,0 days 00:00:19.890055,relu,0.03249576461802155,64,0.0018925353101358012,1,96,,,,COMPLETE
58,0.7558922801095274,2026-07-25 20:33:32.504461,2026-07-25 20:33:45.984338,0 days 00:00:13.479877,relu,0.0011607614437132686,64,0.03323621618577015,2,128,192.0,,,COMPLETE
59,0.8721789467153895,2026-07-25 20:33:46.012180,2026-07-25 20:34:03.321255,0 days 00:00:17.309075,relu,0.00010485676281219394,256,0.0036179556459738638,1,192,,,,COMPLETE
60,0.8587954051622211,2026-07-25 20:34:03.344342,2026-07-25 20:34:42.161393,0 days 00:00:38.817051,relu,0.06484161820161946,64,0.002082911676645028,2,64,256.0,,,COMPLETE
61,0.8832007671148143,2026-07-25 20:34:42.188205,2026-07-25 20:35:20.129525,0 days 00:00:37.941320,relu,0.00038500634794082363,64,0.0014004220668966004,2,160,96.0,,,COMPLETE
62,0.8764753642014773,2026-07-25 20:35:20.153716,2026-07-25 20:35:49.997072,0 days 00:00:29.843356,relu,0.0005668631978413904,64,0.001402900991395084,2,160,96.0,,,COMPLETE
63,0.8962349466186152,2026-07-25 20:35:50.037203,2026-07-25 20:37:50.279846,0 days 00:02:00.242643,relu,5.875775232037901e-05,64,0.0009365779519856359,2,128,64.0,,,COMPLETE
64,0.8870401075410486,2026-07-25 20:37:50.348958,2026-07-25 20:39:04.558867,0 days 00:01:14.209909,relu,1.4505422633898736e-05,64,0.0008533849608556701,2,128,64.0,,,COMPLETE
65,0.8931891184381628,2026-07-25 20:39:04.614652,2026-07-25 20:41:59.326390,0 days 00:02:54.711738,relu,6.495383307679795e-05,64,0.0005886237491106676,2,96,352.0,,,COMPLETE
66,0.8861508751799372,2026-07-25 20:41:59.383772,2026-07-25 20:43:19.338256,0 days 00:01:19.954484,relu,5.720640730371913e-05,128,0.0006144569832699105,2,96,160.0,,,COMPLETE
67,0.8177461585400934,2026-07-25 20:43:19.398788,2026-07-25 20:43:52.997452,0 days 00:00:33.598664,relu,0.000138582213504937,64,0.00015095819385495135,1,32,,,,COMPLETE
68,0.8467689549978726,2026-07-25 20:43:53.045039,2026-07-25 20:48:16.790127,0 days 00:04:23.745088,tanh,4.40448240759497e-06,512,0.00021392302732635464,2,192,352.0,,,COMPLETE
69,0.8750683212682322,2026-07-25 20:48:16.843141,2026-07-25 20:50:06.535040,0 days 00:01:49.691899,relu,2.3209897974139434e-05,256,0.00033924343041820545,3,64,64.0,384.0,,COMPLETE
70,0.8861210394372194,2026-07-25 20:50:06.586416,2026-07-25 20:53:13.906958,0 days 00:03:07.320542,relu,5.981907069883397e-05,64,0.0005570742066180634,2,96,320.0,,,COMPLETE
71,0.89382338245793,2026-07-25 20:53:13.956055,2026-07-25 20:58:40.092047,0 days 00:05:26.135992,relu,0.00018470898509492497,64,0.0009149165881684657,2,128,352.0,,,COMPLETE
72,0.8987142273709234,2026-07-25 20:58:40.156136,2026-07-25 21:06:03.980161,0 days 00:07:23.824025,relu,0.0001703619367708789,64,0.0008797046978422353,2,224,384.0,,,COMPLETE
